index	SequenceA	SequenceB
4376	AF021884.1_1-190	AY344020.1_1-365
4377	AF134751.1_1-181	L38347.1_1-288
4378	Z14099.1_1-342	AF056630.1_1-237
4379	AJ006313.1_1-205	AY344019.1_2-323
4380	AY190469.1_1-181	L44599.1_1-280
4381	L34380.1_1-279	Z36518.1_1-205
4382	Y12083.1_2-333	AJ007824.1_1-227
4383	L28057.1_1-250	AY190418.1_1-181
4384	D31605.1_1-340	U14780.1_1-239
4385	D00831.1_1-391	AJ006326.1_1-236
4386	AF165056.1_1-379	Z84281.1_1-249
4387	AF055301.1_1-238	AF041272.1_1-191
4388	Z84280.1_1-250	AF169005.1_1-390
4389	L29616.1_5-230	X76918.1_1-348
4390	D14484.1_1-391	AY145909.1_2-205
4391	D49745.1_1-393	L38352.1_3-288
4392	AF271889.1_1-237	AY190484.1_1-181
4393	AF207773.1_1-379	L38335.1_3-288
4394	Z84233.1_1-251	AF041289.1_1-191
4395	AY145996.1_1-213	AF483269.1_1-356
4396	AF506636.1_1-236	AY308072.1_1-391
4397	AF207753.1_1-379	AF506669.1_3-246
4398	S62220.1_1-390	L38334.1_3-288
4399	AY188114.1_3-196	D16614.1_3-310
4400	L38320.1_3-288	D37849.1_1-388
4401	AY163831.1_1-177	Z84278.1_1-250
4402	Z36523.1_3-205	U23745.1_1-300
4403	D37846.1_1-388	AY070181.1_1-263
4404	AY146012.1_5-230	Z77061.1_1-197
4405	AY070212.1_1-277	AY344022.1_1-366
4406	AY163821.1_1-256	AB008446.1_1-322
4407	AF165061.1_1-379	AF077228.1_1-250
4408	AB047639.1_1-390	L38345.1_1-288
4409	AF506657.1_1-227	AF511950.1_1-363
4410	AY051292.1_1-391	Z84275.1_1-250
4411	AF238483.1_1-356	Z84213.1_1-250
4412	AF217312.1_1-256	AJ278830.1_1-391
4413	AY190382.1_1-181	AY190409.1_1-181
4414	U23746.1_1-305	M86779.1_2-378
4415	D31728.1_1-254	AY435124.1_1-297
4416	AF056007.1_1-237	Z84258.1_1-251
4417	AY172639.1_1-322	D38078.1_1-388
4418	AY146064.1_1-218	L28058.1_1-250
4419	Y11604.1_1-329	AY070194.1_1-277
4420	Z84216.1_1-250	AF056627.1_1-237
4421	AY344025.1_1-340	AF207768.1_1-379
4422	AF506689.1_1-248	L34379.1_1-279
4423	U45462.1_1-333	AY145999.1_1-243
4424	AF207772.1_1-379	AY344041.1_1-342
4425	L38349.1_3-288	AY145958.1_1-213
4426	AJ437147.1_1-237	U51749.1_1-224
4427	D49751.1_1-388	AY172636.1_1-322
4428	Z84209.1_1-250	AF217314.1_1-256
4429	AF290978.1_1-379	U05032.1_1-360
4430	Z84237.1_1-250	D31726.1_1-254
4431	U94723.1_3-356	AF165051.1_1-379
4432	M84864.1_1-321	D63822.1_1-388
4433	D88466.1_1-388	U05030.1_1-360
4434	M74812.1_2-296	L38354.1_1-288
4435	D49746.1_1-392	D49758.1_1-388
4436	L38325.1_3-288	M74811.1_1-291
4437	AF165058.1_1-379	AB047641.1_1-390
4438	AF064490.1_2-296	L38351.1_1-288
4439	D45193.1_1-390	AY460204.1_1-391
4440	AB049100.1_1-360	AY232731.1_1-354
4441	AY232741.1_1-354	AB049092.1_1-360
4442	AF165049.1_1-379	AY190489.1_1-181
4443	D49374.1_1-389	AY190506.1_1-181
4444	AF158606.1_1-181	L12354.1_1-368
4445	U38287.1_1-202	D50466.1_1-389
4446	U59514.1_2-304	U51762.1_1-214
4447	AF021898.1_1-190	AF169003.1_1-390
4448	D14853.1_1-391	AY434127.1_2-197
4449	AJ006315.1_1-195	AY344024.1_39-357
4450	L34390.1_1-279	AY190392.1_1-181
4451	AY163828.1_1-251	AF356827.1_1-391
4452	D50484.1_1-379	AJ438622.1_1-250
4453	D28917.1_1-389	AF057150.1_1-237
4454	D28833.1_2-238	AB008442.1_1-322
4455	L29591.1_5-230	D37840.1_1-389
4456	D49754.1_1-390	L29603.1_5-230
4457	L29625.1_5-230	D37848.1_1-388
4458	Z84273.1_1-250	AY190391.1_4-181
4459	U51784.1_1-224	AF011753.1_1-391
4460	L34389.1_1-279	AF021900.1_1-190
4461	M84848.1_1-320	AY188142.1_2-196
4462	L38330.1_3-288	AF041297.1_1-191
4463	AY434152.1_2-296	AF041304.1_1-191
4464	Z84215.1_1-250	D49753.1_1-389
4465	D49756.1_1-392	AY070198.1_1-277
4466	AY523466.1_1-174	AY070205.1_1-277
4467	AB008447.1_1-322	D45870.1_1-238
4468	AY188140.1_2-196	AF217293.1_1-256
4469	AF169002.1_1-390	AF077236.1_1-250
4470	L34365.1_1-279	AJ437144.1_1-237
4471	D31725.1_1-255	AB047642.1_1-390
4472	D85516.1_1-391	L38340.1_5-289
4473	M74245.1_1-236	U23391.1_2-306
4474	M74244.1_1-266	D37839.1_1-389
4475	M61720.1_1-239	L34378.1_1-279
4476	D88467.1_1-388	U23388.1_2-306
4477	X71405.1_1-262	D00944.1_1-390
4478	M74808.1_5-301	AB047644.1_1-390
4479	AF021888.1_1-190	AJ437145.1_1-238
4480	AF511949.1_1-391	U23742.1_1-265
4481	AY188152.1_2-196	AF034628.1_2-253
4482	AF207765.1_1-379	L34391.1_1-279
4483	L34381.1_1-279	L27901.1_1-232
4484	AF055305.1_1-239	AJ438620.1_1-256
4485	U05026.1_1-359	AY070169.1_1-302
4486	U14776.1_1-239	AY146059.1_1-212
4487	U63376.1_1-323	AY344023.1_1-362
4488	AY145956.1_1-204	L38332.1_1-282
4489	AY446047.1_1-273	L27899.1_1-232
4490	L12355.1_1-363	AF217296.1_1-256
4491	D29816.1_1-341	AJ582126.1_1-277
4492	M74251.1_1-236	L38346.1_1-288
4493	U14772.1_1-239	Z23075.1_1-230
4494	D29815.1_1-341	AF207764.1_1-379
4495	AY188158.1_2-196	U51787.1_1-224
4496	AB047645.1_1-390	L12353.1_1-368
4497	AF041283.1_1-191	AF041264.1_1-191
4498	AF238486.1_1-354	M84851.1_1-320
4499	D10934.1_1-391	D37841.1_1-392
4500	AF511948.1_1-391	D31971.1_1-388
4501	Z77087.1_1-197	D31603.1_1-341
4502	X61594.1_1-374	AY434151.1_2-196
4503	U23387.1_2-306	AY190441.1_4-181
4504	AF041303.1_1-191	U23750.1_1-297
4505	AF463477.1_1-178	AF217298.1_1-256
4506	AF271891.1_1-237	D88477.1_1-388
4507	AF506653.1_1-239	AF208024.1_1-379
4508	AB119282.1_1-382	AY070200.1_1-277
4509	AY070213.1_1-277	D88476.1_1-392
4510	D31721.1_1-255	D29818.1_1-341
4511	AY188154.1_2-196	AJ006335.1_1-238
4512	AJ006336.1_1-236	AY188156.1_2-196
4513	U51774.1_1-224	AF021899.1_1-190
4514	AF056628.1_1-237	Z84218.1_1-250
4515	AY236365.1_1-293	AB049097.1_1-360
4516	AY188093.1_3-196	AY438097.1_1-225
4517	AF499639.1_393-644	L76401.1_374-625
4518	AY056701.1_199-450	AF132497.1_147-398
4519	AF499640.1_390-641	AF169670.1_305-556
4520	X89531.1_277-528	L76411.1_391-642
4521	Y14459.1_388-637	AJ288062.1_207-458
4522	AF311939.1_395-646	L76409.1_393-643
4523	AF231763.1_393-644	AF499637.1_391-642
4524	AF541919.1_382-632	AF268065.1_393-644
4525	AY062275.1_288-534	AB081343.1_266-517
4526	AF132497.1_147-398	AF499638.1_394-645
4527	AY055151.1_298-550	AY062273.1_288-534
4528	AY055165.1_298-549	AJ295190.1_353-605
4529	X89535.1_277-527	X04468.1_392-643
4530	L76413.1_391-642	U77070.1_391-641
4531	AB081393.1_266-516	AF499636.1_392-643
4532	D90457.1_396-647	AJ295195.1_354-605
4533	AJ132960.1_390-640	AF363454.1_426-676
4534	AF029859.2_394-645	AF405669.1_389-639
4535	U22521.1_394-645	AY278553.1_392-643
4536	AY167103.1_375-626	AF499637.1_391-642
4537	L76398.1_187-438	L76412.1_390-641
4538	AY062275.1_288-534	AF117620.1_295-546
4539	AF499639.1_393-644	X80059.1_395-646
4540	U16283.1_392-643	L76409.1_393-643
4541	AF117629.1_298-548	L76393.1_393-644
4542	L76407.1_391-643	U57056.1_393-644
4543	AJ295193.1_354-605	L76402.1_393-643
4544	AF405690.1_389-639	AF081485.1_394-644
4545	AF328683.1_393-644	X00596.1_394-644
4546	L76413.1_391-642	AY186748.1_373-624
4547	AY055150.1_298-550	AJ132961.1_390-640
4548	AY278550.1_389-640	AJ295203.1_355-605
4549	AY062274.1_288-534	X90722.2_392-643
4550	X05690.1_394-645	AF499640.1_390-641
4551	D00625.1_393-644	AY036578.1_392-643
4552	AF499636.1_392-643	AB059824.1_265-517
4553	L76410.1_391-642	U05876.1_398-649
4554	AY278553.1_392-643	AF114383.1_394-644
4555	AF524867.1_393-644	L76406.1_393-645
4556	L76408.1_391-642	AY055142.1_294-545
4557	X89534.1_277-528	AF448782.1_393-644
4558	AY184219.1_389-639	AF504533.1_308-559
4559	AF405666.1_389-639	AF241359.1_395-646
4560	AF225473.1_351-602	AF065158.1_295-545
4561	AJ132960.1_390-640	AB081342.1_266-517
4562	AB081347.1_266-517	AY056701.1_199-450
4563	L76411.1_391-642	AB081371.1_266-518
4564	U77070.1_391-641	L76394.1_391-643
4565	AJ295171.1_269-520	L76403.1_394-645
4566	AY167106.1_374-624	L76404.1_392-643
4567	X00925.1_392-642	AY055134.1_294-545
4568	AJ304426.1_355-606	AF462418.1_389-639
4569	AF541919.1_382-632	AF225477.1_351-602
4570	AY055173.1_299-550	AY238473.1_393-644
4571	AJ293918.1_392-644	AY186745.1_373-624
4572	AF230973.1_399-650	D00538.1_387-638
4573	AB081366.1_266-517	AJ288062.1_207-458
4574	AY278551.1_389-640	AJ295199.1_273-524
4575	L76399.1_392-643	AF405669.1_389-639
4576	D90457.1_396-647	AJ295202.1_354-605
4577	AY055139.1_294-545	L76405.1_393-644
4578	AF499642.1_390-641	AF117627.1_295-546
4579	AF462419.1_389-639	AB081376.1_266-517
4580	AF448783.1_395-646	AB081346.1_266-518
4581	AY055161.1_298-549	AJ295189.1_351-601
4582	AF546702.1_388-639	AJ304419.1_355-606
4583	AF363455.1_429-679	AB081369.1_266-518
4584	AF311939.1_395-646	AF499643.1_390-640
4585	AF499641.1_391-641	AF317694.1_391-642
4586	AF119796.3_392-643	X04468.1_392-643
4587	AF117632.1_293-544	Y14459.1_388-637
4588	AB081343.1_266-517	L76412.1_390-641
4589	U22521.1_394-645	AF363454.1_426-676
4590	AY055171.1_300-551	D00820.1_392-642
4591	X90723.2_393-644	AJ430385.1_389-639
4592	AF499635.1_390-640	AY055143.1_294-545
4593	AF268065.1_393-644	AJ295198.1_352-602
4594	AF083069.1_394-644	S39291.1_394-645
4595	AF251358.1_354-605	AY278549.1_390-640
4596	X79047.1_392-643	AJ295205.1_354-605
4597	AF268065.1_393-644	AF251358.1_354-605
4598	AY056701.1_199-450	L76410.1_391-642
4599	AF499640.1_390-641	D00538.1_387-638
4600	X00596.1_394-644	AJ295189.1_351-601
4601	AJ295205.1_354-605	AF117623.1_296-545
4602	AF105342.1_394-645	AB081378.1_266-517
4603	AF317694.1_391-642	L76398.1_187-438
4604	AJ276224.1_393-644	AB081342.1_266-517
4605	AB081345.1_266-518	AF081485.1_394-644
4606	AF169670.1_305-556	X90723.2_393-644
4607	AJ295172.1_350-601	AJ295191.1_358-608
4608	AJ295199.1_273-524	AB081376.1_266-517
4609	AY055164.1_298-549	AF225475.1_352-602
4610	AB081393.1_266-516	D16364.1_393-644
4611	AF504533.1_308-559	AY055143.1_294-545
4612	X92886.1_392-642	U16283.1_392-643
4613	AF405669.1_389-639	D90457.1_396-647
4614	AF546702.1_388-639	AJ132961.1_390-640
4615	AF083069.1_394-644	AB081383.1_266-517
4616	AF179613.1_147-398	X79047.1_392-643
4617	AY055147.1_295-546	AF225473.1_351-602
4618	AJ304424.1_353-604	AJ295204.1_353-604
4619	M16560.1_392-643	AF225477.1_351-602
4620	AJ295206.1_351-603	AF117630.1_296-547
4621	D00625.1_393-644	L76408.1_391-642
4622	L76394.1_391-643	D00820.1_392-642
4623	AF499635.1_390-640	X00925.1_392-642
4624	AB081371.1_266-518	AJ295192.1_353-604
4625	AY055173.1_299-550	U77070.1_391-641
4626	L76400.1_358-609	AF029859.2_394-645
4627	AJ295195.1_354-605	AB081344.1_266-517
4628	AY186748.1_373-624	AF231764.1_393-644
4629	U05876.1_398-649	L76399.1_392-643
4630	AF119796.3_392-643	L76395.1_344-595
4631	AY167107.1_373-624	X89533.1_277-528
4632	X90722.2_392-643	AB059821.1_266-517
4633	U22521.1_394-645	X89531.1_277-528
4634	AY167106.1_374-624	AY167104.1_375-626
4635	AF499638.1_394-645	X04468.1_392-643
4636	D00435.1_393-644	AJ295203.1_355-605
4637	AF352027.1_395-646	AF328683.1_393-644
4638	AB081369.1_266-518	X67706.1_394-645
4639	AY055171.1_300-551	L76401.1_374-625
4640	AY167103.1_375-626	AJ295196.1_354-605
4641	AF311939.1_395-646	AY036578.1_392-643
4642	AJ293918.1_392-644	AF462419.1_389-639
4643	AF230973.1_399-650	AJ295202.1_354-605
4644	AF132497.1_147-398	AY055140.1_294-545
4645	AY055151.1_298-550	AY055142.1_294-545
4646	AB081343.1_266-517	AJ133661.1_395-646
4647	X89534.1_277-528	AF302996.1_394-645
4648	AY055158.1_298-549	AF117620.1_295-546
4649	X90724.2_394-645	AB059823.1_266-517
4650	AF117632.1_293-544	AB081364.1_266-517
4651	AF169665.1_311-562	AY055165.1_298-549
4652	L76402.1_393-643	AF448782.1_393-644
4653	AF065158.1_295-545	L76413.1_391-642
4654	AB059820.1_266-517	AJ295198.1_352-602
4655	AY055139.1_294-545	AF177911.1_397-647
4656	X05690.1_394-645	AF117627.1_295-546
4657	X84981.1_391-641	AF114383.1_394-644
4658	AF231765.1_393-644	AY055170.1_299-550
4659	AF499642.1_390-641	L76393.1_393-644
4660	AY055155.1_298-549	AF117626.1_289-533
4661	X80059.1_395-646	AB081367.1_266-517
4662	AB081368.1_266-518	AJ304419.1_355-606
4663	AB081359.1_266-517	AY055161.1_298-549
4664	AB081381.1_266-517	AJ295171.1_269-520
4665	AY055150.1_298-550	AF119795.2_392-643
4666	AB081347.1_266-517	AF241359.1_395-646
4667	X89535.1_277-527	AJ304423.1_364-615
4668	L76409.1_393-643	AJ430385.1_389-639
4669	S39291.1_394-645	AB081374.1_266-518
4670	L76406.1_393-645	AJ132960.1_390-640
4671	AF231763.1_393-644	AB081387.1_266-517
4672	AJ493062.2_393-644	AY186745.1_373-624
4673	AY184219.1_389-639	AF499637.1_391-642
4674	AF499636.1_392-643	L76412.1_390-641
4675	AF448783.1_395-646	AF499639.1_393-644
4676	AY278550.1_389-640	AF499643.1_390-640
4677	AF405666.1_389-639	AJ288062.1_207-458
4678	AJ133662.1_395-646	AY055134.1_294-545
4679	AY055145.1_294-545	AF524866.1_393-644
4680	AF524867.1_393-644	AB081375.1_266-517
4681	AY055154.1_298-549	AJ295201.1_354-605
4682	AJ295190.1_353-605	AY278551.1_389-640
4683	AB081366.1_266-517	AJ295193.1_354-605
4684	AF117629.1_298-548	M74567.1_393-644
4685	AY055130.1_294-545	D00627.1_394-645
4686	AY238473.1_393-644	AY278553.1_392-643
4687	L76411.1_391-642	AF462418.1_389-639
4688	AF405690.1_389-639	AY278549.1_390-640
4689	AJ304421.1_355-606	U57056.1_393-644
4690	L76405.1_393-644	AF541919.1_382-632
4691	X89532.1_277-528	AY167105.1_375-626
4692	L76407.1_391-643	AF499641.1_391-641
4693	AJ304426.1_355-606	AJ295194.1_353-604
4694	AB081362.1_266-517	AB081346.1_266-518
4695	AB059824.1_265-517	AB081365.1_266-517
4696	AY062275.1_288-534	AY062273.1_288-534
4697	AF363454.1_426-676	AF363455.1_429-679
4698	X04465.1_117436-117320	AF143425.1_760-901
4699	X60045.1_1000-1142	L43910.1_323-456
4700	X04465.1_47942-47868	Z00028.1_5121-5234
4701	X04465.1_71857-71924	Y08501.2_169475-169584
4702	Y18999.2_2881-2957	Z00044.1_1956-1845
4703	X72287.1_717-859	Y08501.2_135699-135828
4704	M68929.1_41010-41093	AB027572.1_1941-1862
4705	AB042240.3_34087-34170	X17375.2_29364-29438
4706	X05917.1_3244-3331	Y18999.2_2881-2957
4707	X04465.1_71857-71924	AF314856.1_1250-1311
4708	Z00028.1_5121-5234	X03834.1_1418-1494
4709	V00166.1_1829-1941	X86563.2_75403-75477
4710	AF074613.1_60570-60649	X72616.1_122-187
4711	X04465.1_116516-116403	X07106.1_2899-2978
4712	AJ277126.1_2879-2953	X86563.2_124917-124799
4713	L43910.1_323-456	X04465.1_77203-77142
4714	AJ130746.1_1754-1835	AJ277126.1_35792-35885
4715	AJ277126.1_9249-9325	AJ277126.1_6413-6487
4716	AJ131147.1_1719-1794	Y08501.2_169475-169584
4717	U77945.1_1848-1919	Z00044.1_12700-12613
4718	AJ316582.1_78387-78450	X60045.1_1000-1142
4719	Z00044.1_45478-45405	Z00044.1_1956-1845
4720	M68929.1_41010-41093	X04465.1_79649-79574
4721	AJ316582.1_9914-9993	AB022308.1_6486-6569
4722	X04465.1_47942-47868	X77508.1_2333-2408
4723	AF087656.1_10795-10873	Y12731.1_1118-1260
4724	X04465.1_68119-68052	V00712.1_1227-1289
4725	AJ316582.1_98150-98072	AF243383.1_10225-10322
4726	AF080083.1_1551-1683	AJ131145.1_1727-1802
4727	AJ011856.1_37648-37722	X97295.1_1333-1451
4728	Z00044.1_87253-87177	AJ131144.1_1753-1833
4729	X01088.1_1893-1955	X04465.1_73150-73215
4730	M36911.1_2445-2539	X03698.1_100-176
4731	X03481.1_524-600	AY005806.1_723-797
4732	AP000423.1_1844-1752	Z72500.1_3161-3251
4733	M68929.1_49817-49892	X04465.1_19125-19199
4734	AJ251292.1_2399-2492	M81726.1_5191-5288
4735	X04465.1_2700-2775	U41288.1_3118-3192
4736	M15176.1_580-656	AJ277126.1_8230-8302
4737	AE007285.1_6659-6583	AJ011856.1_26154-26228
4738	X03834.1_1418-1494	X97295.1_1333-1451
4739	AF065404.1_6521-6444	X04465.1_117436-117320
4740	AF200692.2_21112-21025	X04465.1_21511-21432
4741	AJ316582.1_78387-78450	X04465.1_116516-116403
4742	AB027572.1_1941-1862	L36897.1_2659-2743
4743	AB027572.1_1941-1862	X04465.1_68119-68052
4744	Y18999.2_2881-2957	X04465.1_71857-71924
4745	X02819.1_3326-3410	X86563.2_75403-75477
4746	AF080083.1_1551-1683	Y12731.1_1118-1260
4747	M36911.1_2445-2539	X60045.1_1000-1142
4748	AJ251292.1_2399-2492	Y08501.2_135699-135828
4749	Z00044.1_87253-87177	U41288.1_3118-3192
4750	X04465.1_28100-28187	AJ131144.1_1753-1833
4751	M81726.1_5191-5288	X04465.1_754-816
4752	AY005806.1_723-797	AF200692.2_21112-21025
4753	X57546.1_2817-2907	X04465.1_117436-117320
4754	AB042240.3_34087-34170	Y08501.2_169475-169584
4755	AJ277126.1_6413-6487	X04465.1_47942-47868
4756	X71404.1_2822-2898	X04465.1_10044-10114
4757	AJ316582.1_73932-73872	X72287.1_717-859
4758	AB022308.1_6486-6569	X04465.1_4746-4826
4759	Z69899.1_2926-3021	X04465.1_79649-79574
4760	Z72500.1_3161-3251	U13767.1_4803-4881
4761	V00712.1_1227-1289	AJ316582.1_98150-98072
4762	Z00044.1_44460-44392	M68929.1_41010-41093
4763	X07106.1_2899-2978	X04465.1_19125-19199
4764	X55026.1_77786-77867	AJ316582.1_9914-9993
4765	Z00044.1_12700-12613	AJ277126.1_35792-35885
4766	X04465.1_2700-2775	X77508.1_2333-2408
4767	Z00044.1_23174-23103	X72616.1_122-187
4768	AB042240.3_88332-88259	V00166.1_1829-1941
4769	AJ315331.1_53-130	AF243383.1_10225-10322
4770	X04465.1_101010-100933	AE007285.1_6659-6583
4771	M68929.1_120754-120816	U77945.1_1848-1919
4772	X04465.1_21511-21432	AF029891.1_9161-9235
4773	AJ011856.1_26154-26228	X05917.1_3244-3331
4774	AF065404.1_6521-6444	AJ277126.1_9249-9325
4775	AF087656.1_10795-10873	Z00044.1_84143-84067
4776	AJ011856.1_37648-37722	X04336.1_3210-3313
4777	U41288.1_27369-27451	L36897.1_2659-2743
4778	X17375.2_29364-29438	X04465.1_73150-73215
4779	AF074613.1_60570-60649	AF143425.1_760-901
4780	M68929.1_49817-49892	Z00044.1_1956-1845
4781	AJ277126.1_2879-2953	X86563.2_93178-93102
4782	AF235045.1_658-731	X03481.1_524-600
4783	V00694.1_5204-5294	AJ130737.1_1761-1840
4784	X04465.1_77203-77142	X05422.1_3488-3558
4785	AF143423.1_825-965	X07106.1_1306-1373
4786	L43910.1_323-456	Z00028.1_5121-5234
4787	AJ131145.1_1727-1802	AP000423.1_1844-1752
4788	AJ277126.1_8230-8302	X62341.1_1274-1336
4789	AF029891.1_4522-4594	X03415.1_1030-1100
4790	X04465.1_101010-100933	AJ131147.1_1719-1794
4791	V00166.1_1829-1941	AJ277126.1_35792-35885
4792	M15176.1_580-656	X03698.1_100-176
4793	X01088.1_1893-1955	AF314856.1_1250-1311
4794	AJ277126.1_33096-33168	X73671.1_1293-1367
4795	X04465.1_71857-71924	U41288.1_3118-3192
4796	X04465.1_73150-73215	AB042240.3_34087-34170
4797	X04465.1_4746-4826	M68929.1_49817-49892
4798	X04465.1_754-816	Z00044.1_12700-12613
4799	X04465.1_117436-117320	X04465.1_116516-116403
4800	AJ277126.1_2879-2953	U77945.1_1848-1919
4801	AF243383.1_10225-10322	AJ011856.1_37648-37722
4802	AE007285.1_6659-6583	X63625.1_1815-1875
4803	AY005806.1_723-797	X04465.1_68119-68052
4804	AF074613.1_60570-60649	V00712.1_1227-1289
4805	U13767.1_4803-4881	AJ131144.1_1753-1833
4806	X17375.2_29364-29438	X01088.1_1893-1955
4807	AP000397.1_37693-37753	AJ277126.1_8230-8302
4808	X03834.1_1418-1494	AF029891.1_9161-9235
4809	AB042240.3_88332-88259	AJ316582.1_98150-98072
4810	X04336.1_3210-3313	Z72500.1_3161-3251
4811	X04465.1_77203-77142	AF314856.1_1250-1311
4812	X03698.1_100-176	AJ277126.1_33096-33168
4813	X71404.1_2822-2898	X04465.1_2700-2775
4814	Z00044.1_44460-44392	M15176.1_580-656
4815	M36911.1_2445-2539	AF235045.1_658-731
4816	X03415.1_1030-1100	AJ130737.1_1761-1840
4817	Y18999.2_2881-2957	X86563.2_75403-75477
4818	AJ316582.1_78387-78450	Z00044.1_84143-84067
4819	AJ315331.1_53-130	X04465.1_19125-19199
4820	L36897.1_2659-2743	X04465.1_79649-79574
4821	M68929.1_120754-120816	AJ131145.1_1727-1802
4822	X03481.1_524-600	X57546.1_2817-2907
4823	U41288.1_27369-27451	AP000423.1_1844-1752
4824	AF065404.1_6521-6444	X07106.1_1306-1373
4825	X04465.1_47942-47868	AJ316582.1_9914-9993
4826	AF143424.1_944-1083	Y12731.1_1118-1260
4827	Z00044.1_45478-45405	Z69899.1_2926-3021
4828	X04465.1_21511-21432	X04465.1_10044-10114
4829	AF200692.2_21112-21025	X77508.1_2333-2408
4830	AF029891.1_4522-4594	Z00044.1_23174-23103
4831	X60045.1_1000-1142	AF143423.1_825-965
4832	AF143421.1_868-1007	X72287.1_717-859
4833	AB027572.1_1941-1862	AJ277126.1_9249-9325
4834	X62341.1_1274-1336	AJ131136.1_1732-1807
4835	X05422.1_3488-3558	X07106.1_2899-2978
4836	V00694.1_5204-5294	X55026.1_77786-77867
4837	AJ277126.1_6413-6487	AF087656.1_10795-10873
4838	M68929.1_41010-41093	M81726.1_5191-5288
4839	X73671.1_1293-1367	AJ316582.1_73932-73872
4840	AJ251292.1_2399-2492	AJ011856.1_26154-26228
4841	Z00028.1_5121-5234	X17395.1_1934-1994
4842	AJ131147.1_1719-1794	AJ011856.1_37648-37722
4843	Z00044.1_87253-87177	X05917.1_3244-3331
4844	X03698.1_100-176	X04465.1_47942-47868
4845	AJ277126.1_33096-33168	M81726.1_5191-5288
4846	AF074613.1_60570-60649	M68929.1_49817-49892
4847	X04465.1_71857-71924	X07106.1_2899-2978
4848	X17395.1_1934-1994	AF235045.1_658-731
4849	AJ316582.1_98150-98072	X71404.1_2822-2898
4850	AJ277126.1_6413-6487	AJ131136.1_1732-1807
4851	M68929.1_120754-120816	Z00044.1_84143-84067
4852	AP000423.1_1844-1752	X04465.1_79649-79574
4853	X60045.1_1000-1142	M68929.1_41010-41093
4854	U41288.1_27369-27451	X04465.1_754-816
4855	X04465.1_73150-73215	AY005806.1_723-797
4856	Z72500.1_3161-3251	X63625.1_1815-1875
4857	L36897.1_2659-2743	X04465.1_19125-19199
4858	AF087656.1_10795-10873	U41288.1_3118-3192
4859	AJ131144.1_1753-1833	AJ277126.1_2879-2953
4860	X04465.1_117436-117320	X86563.2_124917-124799
4861	X04465.1_101010-100933	X86563.2_93178-93102
4862	Z00044.1_45478-45405	X03481.1_524-600
4863	X73671.1_1293-1367	AJ316582.1_78387-78450
4864	AF029891.1_4522-4594	AJ277126.1_8230-8302
4865	V00712.1_1227-1289	X04336.1_3210-3313
4866	X07106.1_1306-1373	X04465.1_10044-10114
4867	X04465.1_77203-77142	X04465.1_2700-2775
4868	M15176.1_580-656	AJ316582.1_9914-9993
4869	AJ130737.1_1761-1840	AJ011856.1_26154-26228
4870	AJ131145.1_1727-1802	X17375.2_29364-29438
4871	AF143425.1_760-901	AF143423.1_825-965
4872	X04465.1_2700-2775	AJ316582.1_98150-98072
4873	X05917.1_3244-3331	AB042240.3_34087-34170
4874	AF029891.1_9161-9235	AJ130737.1_1761-1840
4875	X04465.1_101010-100933	AJ315331.1_53-130
4876	X03698.1_100-176	X03481.1_524-600
4877	AJ131145.1_1727-1802	U41288.1_3118-3192
4878	AJ277126.1_2879-2953	AF029891.1_4522-4594
4879	AF132853.1_1195-1308	AY147192.1_1892-2005
4880	L22218.1_1705-1818	U78642.1_1141-1254
4881	AF075160.1_1209-1322	M96747.1_472-585
4882	AF166008.1_340-453	M32661.1_1132-1245
4883	AF308934.1_1774-1887	AF454388.1_1126-1239
4884	U38240.1_1156-1269	AF319664.1_1334-1447
4885	AY138839.1_1562-1675	M30312.1_1217-1330
4886	AB018545.1_1858-1971	AF166003.1_1167-1280
4887	U32923.1_1090-1203	AF493545.1_787-900
4888	AY232553.1_1231-1344	U52223.1_8-121
4889	AF205856.1_1102-1215	AF323751.1_1477-1590
4890	AF026006.1_1132-1245	X62841.1_1711-1824
4891	U89873.1_663-775	AF017129.1_1373-1486
4892	U38182.1_1906-2019	M59980.1_1343-1456
4893	M64226.1_1117-1230	U45979.1_1659-1772
4894	M55515.1_1302-1415	Y07589.1_82-195
4895	AY494950.1_597-710	M32660.1_1111-1224
4896	AF069526.1_1261-1374	AF508735.1_1111-1224
4897	M68880.1_2362-2475	U03723.1_2475-2588
4898	M74898.1_595-708	L02751.1_1573-1686
4899	AF375605.1_1111-1224	AY329366.1_1456-1569
4900	AF323749.1_1123-1236	X60797.1_1180-1293
4901	U20342.1_1144-1257	AY179603.1_1735-1848
4902	Y07588.1_172-285	AF395810.1_1102-1215
4903	M95914.1_1261-1374	AF048712.1_1102-1215
4904	AF107781.1_1102-1215	AF032099.1_1303-1416
4905	M74449.1_1173-1286	BX537638.1_3883-3996
4906	AF223409.1_1162-1275	M17211.1_1733-1846
4907	X16003.1_1685-1798	U75448.1_1122-1235
4908	AB084422.1_1249-1362	X12589.1_1364-1477
4909	L26968.1_1511-1624	AY329362.1_1365-1478
4910	U96110.1_1273-1386	U42975.1_1160-1273
4911	M59313.1_33-146	AF149787.1_1406-1519
4912	X17621.1_1700-1813	AF454388.1_1126-1239
4913	L19740.1_1135-1248	M96747.1_472-585
4914	M30312.1_1217-1330	M95914.1_1261-1374
4915	AF223409.1_1162-1275	U20342.1_1144-1257
